delay_id,route_id,bus_id,intersection_id,stop_id,scheduled_arrival_ts,actual_arrival_ts,delay_minutes,delay_reason,date
DLY_00000,RT_101,BUS_1049,INT_005,STOP_14,2023-01-06 18:36:00,2023-01-06 18:42:29,6.49,weather,2023-01-06
DLY_00001,RT_103,BUS_1059,INT_003,STOP_22,2023-01-05 20:24:00,2023-01-05 20:28:35,4.59,breakdown,2023-01-05
DLY_00002,RT_101,BUS_1050,INT_001,STOP_20,2023-01-07 07:51:00,2023-01-07 07:57:56,6.94,traffic,2023-01-07
DLY_00003,RT_103,BUS_1059,INT_004,STOP_3,2023-01-06 03:02:00,2023-01-06 03:11:34,9.57,breakdown,2023-01-06
DLY_00004,RT_107,BUS_1041,INT_003,STOP_2,2023-01-04 05:02:00,2023-01-04 05:06:17,4.3,breakdown,2023-01-04
DLY_00005,RT_106,BUS_1097,INT_006,STOP_15,2023-01-04 23:15:00,2023-01-04 23:19:17,4.3,other,2023-01-04
DLY_00006,RT_105,BUS_1010,INT_010,STOP_9,2023-01-06 01:06:00,2023-01-06 01:15:44,9.74,other,2023-01-06
DLY_00007,RT_101,BUS_1044,INT_002,STOP_1,2023-01-07 09:17:00,2023-01-07 09:24:18,7.3,breakdown,2023-01-07
DLY_00008,RT_101,BUS_1096,INT_002,STOP_21,2023-01-02 00:44:00,2023-01-02 00:47:35,3.59,traffic,2023-01-02
DLY_00009,RT_101,BUS_1079,INT_009,STOP_8,2023-01-03 12:26:00,2023-01-03 12:32:37,6.63,breakdown,2023-01-03
DLY_00010,RT_108,BUS_1085,INT_009,STOP_8,2023-01-02 16:28:00,2023-01-02 16:31:36,3.61,traffic,2023-01-02
DLY_00011,RT_108,BUS_1089,INT_010,STOP_19,2023-01-03 17:31:00,2023-01-03 17:34:36,3.6,weather,2023-01-03
DLY_00012,RT_103,BUS_1077,INT_006,STOP_25,2023-01-05 10:43:00,2023-01-05 10:48:43,5.73,traffic,2023-01-05
DLY_00013,RT_105,BUS_1013,INT_006,STOP_25,2023-01-03 02:43:00,2023-01-03 02:43:00,0.0,traffic,2023-01-03
