record_id,intersection_id,intersection_name,zone,timestamp_utc,date,is_peak_hour,vehicle_type,vehicle_count_total
CAM_INT_001_3,INT_001,Kukatpally Crossroad,Medchal,2023-01-02 12:24:00,2023-01-02,False,pedestrian,6
CAM_INT_004_1,INT_004,LB Nagar Signal,Hyderabad,2023-01-04 00:52:00,2023-01-04,False,bus,7
CAM_INT_002_4,INT_002,Ameerpet Junction,Hyderabad,2023-01-07 10:55:00,2023-01-07,True,pedestrian,15
CAM_INT_001_2,INT_001,Kukatpally Crossroad,Medchal,2023-01-01 14:40:00,2023-01-01,False,car,7
CAM_INT_009_1,INT_009,Charminar Signal,Hyderabad,2023-01-03 21:31:00,2023-01-03,False,bicycle,6
CAM_INT_004_4,INT_004,LB Nagar Signal,Hyderabad,2023-01-07 15:15:00,2023-01-07,False,pedestrian,8
CAM_INT_008_3,INT_008,Uppal Junction,Hyderabad,2023-01-03 18:11:00,2023-01-03,True,pedestrian,20
CAM_INT_003_4,INT_003,Miyapur X Roads,Rangareddy,2023-01-01 07:46:00,2023-01-01,False,pedestrian,13
CAM_INT_005_2,INT_005,Mehdipatnam Circle,Hyderabad,2023-01-05 02:54:00,2023-01-05,False,bus,4
CAM_INT_002_4,INT_002,Ameerpet Junction,Hyderabad,2023-01-05 01:54:00,2023-01-05,False,car,8
CAM_INT_006_3,INT_006,Dilsukhnagar Junction,Hyderabad,2023-01-02 08:24:00,2023-01-02,True,truck,15
CAM_INT_008_1,INT_008,Uppal Junction,Hyderabad,2023-01-01 17:51:00,2023-01-01,True,pedestrian,23
CAM_INT_002_3,INT_002,Ameerpet Junction,Hyderabad,2023-01-05 13:21:00,2023-01-05,False,bicycle,6
CAM_INT_010_1,INT_010,Shamshabad Airport Road,Rangareddy,2023-01-05 08:45:00,2023-01-05,True,bus,17
CAM_INT_004_1,INT_004,LB Nagar Signal,Hyderabad,2023-01-01 18:30:00,2023-01-01,True,truck,23
CAM_INT_002_3,INT_002,Ameerpet Junction,Hyderabad,2023-01-03 21:34:00,2023-01-03,False,2w,10
CAM_INT_006_3,INT_006,Dilsukhnagar Junction,Hyderabad,2023-01-06 09:48:00,2023-01-06,True,bus,13
CAM_INT_004_3,INT_004,LB Nagar Signal,Hyderabad,2023-01-05 07:00:00,2023-01-05,False,pedestrian,8
CAM_INT_010_2,INT_010,Shamshabad Airport Road,Rangareddy,2023-01-02 01:29:00,2023-01-02,False,pedestrian,12
CAM_INT_004_4,INT_004,LB Nagar Signal,Hyderabad,2023-01-07 07:51:00,2023-01-07,False,bus,5
CAM_INT_005_2,INT_005,Mehdipatnam Circle,Hyderabad,2023-01-05 13:36:00,2023-01-05,False,pedestrian,7
CAM_INT_001_1,INT_001,Kukatpally Crossroad,Medchal,2023-01-04 22:33:00,2023-01-04,False,bus,8
CAM_INT_007_1,INT_007,Kompally Signal,Medchal,2023-01-04 20:08:00,2023-01-04,False,truck,6
CAM_INT_010_3,INT_010,Shamshabad Airport Road,Rangareddy,2023-01-03 15:36:00,2023-01-03,False,pedestrian,11
CAM_INT_008_4,INT_008,Uppal Junction,Hyderabad,2023-01-03 16:03:00,2023-01-03,False,2w,6
CAM_INT_005_2,INT_005,Mehdipatnam Circle,Hyderabad,2023-01-02 21:00:00,2023-01-02,False,bus,8
CAM_INT_009_4,INT_009,Charminar Signal,Hyderabad,2023-01-07 15:17:00,2023-01-07,False,truck,9
CAM_INT_007_2,INT_007,Kompally Signal,Medchal,2023-01-07 21:20:00,2023-01-07,False,truck,11
CAM_INT_009_1,INT_009,Charminar Signal,Hyderabad,2023-01-02 19:46:00,2023-01-02,True,2w,27
CAM_INT_002_2,INT_002,Ameerpet Junction,Hyderabad,2023-01-01 18:51:00,2023-01-01,True,bus,22
CAM_INT_010_4,INT_010,Shamshabad Airport Road,Rangareddy,2023-01-06 01:16:00,2023-01-06,False,car,9
CAM_INT_010_3,INT_010,Shamshabad Airport Road,Rangareddy,2023-01-05 14:12:00,2023-01-05,False,2w,8
CAM_INT_001_1,INT_001,Kukatpally Crossroad,Medchal,2023-01-07 13:04:00,2023-01-07,False,pedestrian,9
CAM_INT_005_1,INT_005,Mehdipatnam Circle,Hyderabad,2023-01-07 08:37:00,2023-01-07,True,truck,22
CAM_INT_007_4,INT_007,Kompally Signal,Medchal,2023-01-04 14:08:00,2023-01-04,False,bus,11
CAM_INT_005_2,INT_005,Mehdipatnam Circle,Hyderabad,2023-01-01 06:53:00,2023-01-01,False,bicycle,10
CAM_INT_002_3,INT_002,Ameerpet Junction,Hyderabad,2023-01-07 00:37:00,2023-01-07,False,pedestrian,18
CAM_INT_010_2,INT_010,Shamshabad Airport Road,Rangareddy,2023-01-07 00:37:00,2023-01-07,False,bus,5
CAM_INT_003_1,INT_003,Miyapur X Roads,Rangareddy,2023-01-05 12:06:00,2023-01-05,False,bicycle,3
CAM_INT_006_1,INT_006,Dilsukhnagar Junction,Hyderabad,2023-01-08 01:33:00,2023-01-08,False,2w,7
CAM_INT_006_2,INT_006,Dilsukhnagar Junction,Hyderabad,2023-01-02 12:32:00,2023-01-02,False,truck,9
CAM_INT_004_1,INT_004,LB Nagar Signal,Hyderabad,2023-01-01 21:49:00,2023-01-01,False,bicycle,6
CAM_INT_008_2,INT_008,Uppal Junction,Hyderabad,2023-01-02 05:23:00,2023-01-02,False,car,9
CAM_INT_008_2,INT_008,Uppal Junction,Hyderabad,2023-01-02 17:03:00,2023-01-02,True,pedestrian,21
CAM_INT_009_4,INT_009,Charminar Signal,Hyderabad,2023-01-04 06:22:00,2023-01-04,False,bicycle,4
CAM_INT_009_2,INT_009,Charminar Signal,Hyderabad,2023-01-03 15:50:00,2023-01-03,False,pedestrian,5
CAM_INT_007_4,INT_007,Kompally Signal,Medchal,2023-01-04 19:07:00,2023-01-04,True,truck,20
CAM_INT_008_2,INT_008,Uppal Junction,Hyderabad,2023-01-07 03:19:00,2023-01-07,False,car,6
CAM_INT_002_1,INT_002,Ameerpet Junction,Hyderabad,2023-01-03 19:21:00,2023-01-03,True,truck,22
CAM_INT_009_2,INT_009,Charminar Signal,Hyderabad,2023-01-07 22:38:00,2023-01-07,False,bus,5
CAM_INT_002_1,INT_002,Ameerpet Junction,Hyderabad,2023-01-01 07:57:00,2023-01-01,False,pedestrian,12
CAM_INT_002_3,INT_002,Ameerpet Junction,Hyderabad,2023-01-03 20:30:00,2023-01-03,False,car,2
CAM_INT_009_3,INT_009,Charminar Signal,Hyderabad,2023-01-02 01:20:00,2023-01-02,False,bus,4
CAM_INT_004_2,INT_004,LB Nagar Signal,Hyderabad,2023-01-06 18:33:00,2023-01-06,True,pedestrian,25
CAM_INT_010_2,INT_010,Shamshabad Airport Road,Rangareddy,2023-01-07 17:55:00,2023-01-07,True,2w,14
CAM_INT_007_1,INT_007,Kompally Signal,Medchal,2023-01-06 15:09:00,2023-01-06,False,bus,14
CAM_INT_007_4,INT_007,Kompally Signal,Medchal,2023-01-02 08:28:00,2023-01-02,True,truck,19
CAM_INT_008_1,INT_008,Uppal Junction,Hyderabad,2023-01-05 22:15:00,2023-01-05,False,pedestrian,8
CAM_INT_001_3,INT_001,Kukatpally Crossroad,Medchal,2023-01-02 08:52:00,2023-01-02,True,2w,27
CAM_INT_004_2,INT_004,LB Nagar Signal,Hyderabad,2023-01-02 11:50:00,2023-01-02,False,bus,12
CAM_INT_008_4,INT_008,Uppal Junction,Hyderabad,2023-01-07 08:26:00,2023-01-07,True,bus,20
CAM_INT_005_2,INT_005,Mehdipatnam Circle,Hyderabad,2023-01-03 08:06:00,2023-01-03,True,2w,21
CAM_INT_008_1,INT_008,Uppal Junction,Hyderabad,2023-01-02 02:35:00,2023-01-02,False,bicycle,6
